timestamp,city,state,country,latitude,longitude,aqius,mainus,aqicn,maincn,temperature,humidity,pressure,wind_direction,wind_speed
2025-06-26T14:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,53,p2,15,p2,28,80,1004,116,2.54
2025-06-26T15:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,65,p2,24,p2,27,83,1003,106,2.05
2025-06-26T16:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,76,p2,32,p2,27,85,1003,101,1.41
2025-06-26T17:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,84,p2,38,p2,27,86,1004,93,1.56
2025-06-26T18:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,93,p2,45,p2,27,82,1003,86,1.2
2025-06-26T19:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,87,p2,41,p2,27,86,1004,92,1.52
2025-06-26T20:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,79,p2,34,p2,27,86,1004,119,1.81
2025-06-26T21:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,75,p2,32,p2,27,88,1004,116,2
2025-06-26T22:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,78,p2,34,p2,27,87,1004,105,2.1
2025-06-26T23:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,71,p2,29,p2,27,85,1004,104,2.19
2025-06-27T01:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,73,p2,30,p2,28,82,1005,127,3.05
2025-06-27T03:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,74,p2,31,p2,29,66,1003,137,4.28
2025-06-27T04:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,75,p2,31,p2,31,58,1003,141,5.93
2025-06-27T05:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,78,p2,34,p2,32,54,1002,141,6.37
2025-06-27T06:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,82,p2,37,p2,32,52,1002,144,6.29
2025-06-27T07:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,79,p2,35,p2,32,52,1001,144,3.86
2025-06-27T08:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,81,p2,36,p2,31,54,1001,140,2.71
2025-06-27T09:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,84,p2,39,p2,32,52,1000,113,2.33
2025-06-27T10:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,84,p2,39,p2,32,50,1000,119,2.54
2025-06-27T11:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,87,p2,41,p2,33,50,999,128,2.51
2025-06-27T12:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,80,p2,36,p2,33,49,999,140,1.98
2025-06-27T13:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,73,p2,30,p2,32,53,999,140,1.6
2025-06-27T14:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,72,p2,29,p2,32,57,999,117,1.82
2025-06-27T15:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,69,p2,27,p2,31,59,999,109,2.71
2025-06-27T16:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,75,p2,31,p2,31,61,1000,98,2.82
2025-06-27T17:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,79,p2,34,p2,31,61,1001,96,2.7
2025-06-27T18:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,88,p2,41,p2,30,64,1001,91,2.04
2025-06-27T19:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,89,p2,42,p2,30,64,1001,93,2.18
2025-06-27T20:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,86,p2,40,p2,30,65,1000,107,2.39
2025-06-27T21:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,82,p2,37,p2,29,68,1000,112,3.14
2025-06-27T22:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,92,p2,44,p2,29,71,999,113,3.39
2025-06-27T23:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,95,p2,47,p2,27,75,1000,113,2.95
2025-06-28T01:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,117,p2,59,p2,25,85,1002,44,2.81
2025-06-28T03:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,124,p2,62,p2,25,85,1002,10,3.36
2025-06-28T04:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,133,p2,67,p2,24,89,1002,355,3.21
2025-06-28T05:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,121,p2,61,p2,23,85,1003,46,3.43
2025-06-28T06:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,107,p2,54,p2,26,77,1002,73,3.45
2025-06-28T07:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,110,p2,55,p2,28,69,1001,70,2.78
2025-06-28T08:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,115,p2,58,p2,29,63,1000,107,1.48
2025-06-28T09:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,115,p2,58,p2,32,53,998,81,1.56
2025-06-28T10:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,119,p2,60,p2,33,50,997,75,2.21
2025-06-28T11:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,127,p2,64,p2,33,48,996,94,1.49
2025-06-28T12:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,112,p2,56,p2,34,48,996,276,0.85
2025-06-28T13:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,102,p2,51,p2,34,44,996,252,0.41
2025-06-28T14:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,99,p2,50,p2,34,49,996,90,0.22
2025-06-28T15:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,102,p2,51,p2,33,50,996,81,1.16
2025-06-28T16:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,116,p2,58,p2,33,51,997,103,1.59
2025-06-28T17:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,131,p2,66,p2,32,53,997,100,1.71
2025-06-28T18:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,142,p2,71,p2,31,57,997,48,2.25
2025-06-28T19:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,143,p2,72,p2,29,66,997,43,2.78
2025-06-28T20:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,147,p2,74,p2,29,66,997,61,3.37
2025-06-28T21:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,151,p2,76,p2,29,65,996,89,2.41
2025-06-28T22:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,150,p2,76,p2,29,65,996,124,2.31
2025-06-28T23:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,131,p2,66,p2,29,67,996,94,2.36
2025-06-29T02:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,128,p2,64,p2,28,70,995,18,2.35
2025-06-29T03:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,137,p2,69,p2,30,61,996,158,2.58
2025-06-29T04:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,156,p2,84,p2,30,63,996,150,4.44
2025-06-29T05:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,153,p2,80,p2,30,64,996,128,5.6
2025-06-29T06:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,144,p2,73,p2,31,59,996,124,4.81
2025-06-29T07:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,142,p2,71,p2,35,45,994,221,3.17
2025-06-29T08:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,130,p2,66,p2,36,42,994,235,3.59
2025-06-29T09:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,130,p2,65,p2,36,40,993,236,2.64
2025-06-29T10:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,117,p2,59,p2,37,38,993,169,1.33
2025-06-29T11:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,94,p2,46,p2,36,42,992,113,3.01
2025-06-29T12:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,90,p2,43,p2,34,46,992,112,3.96
2025-06-29T13:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,92,p2,44,p2,34,47,992,90,2.51
2025-06-29T14:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,107,p2,54,p2,33,49,993,77,3.82
2025-06-29T15:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,118,p2,59,p2,33,49,993,85,4.06
2025-06-29T16:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,102,p2,51,p2,32,52,994,94,4.66
2025-06-29T17:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,61,p2,21,p2,31,56,994,95,3.95
2025-06-29T18:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,57,p2,18,p2,31,58,995,126,3.32
2025-06-29T19:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,57,p2,18,p2,31,61,995,125,4.75
2025-06-29T20:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,62,p2,22,p2,29,68,994,94,4.92
2025-06-29T21:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,66,p2,24,p2,27,77,995,109,0.99
2025-06-29T22:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,73,p2,30,p2,28,76,994,112,3.42
2025-06-29T23:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,69,p2,27,p2,27,79,994,150,1.24
2025-06-30T02:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,62,p2,21,p2,27,78,998,131,4.15
2025-06-30T03:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,66,p2,24,p2,28,74,999,137,4.83
2025-06-30T04:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,77,p2,33,p2,29,74,1000,137,5.07
2025-06-30T05:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,96,p2,47,p2,31,71,1000,131,5.68
2025-06-30T06:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,102,p2,51,p2,32,62,998,140,4.11
2025-06-30T07:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,107,p2,54,p2,33,64,999,143,4.61
2025-06-30T08:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,97,p2,49,p2,34,59,998,141,4.83
2025-06-30T09:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,97,p2,49,p2,35,57,998,140,4.7
2025-06-30T10:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,99,p2,49,p2,35,42,994,142,4.38
2025-06-30T11:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,98,p2,49,p2,35,42,994,145,4.1
2025-06-30T12:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,101,p2,51,p2,35,44,993,123,4.38
2025-06-30T13:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,111,p2,56,p2,34,49,994,116,3.98
2025-06-30T14:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,111,p2,56,p2,33,53,995,112,3.78
2025-06-30T15:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,109,p2,55,p2,32,55,995,100,4.26
2025-06-30T16:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,124,p2,63,p2,32,56,996,106,4.4
2025-06-30T17:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,125,p2,63,p2,31,61,997,125,4.18
2025-06-30T18:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,119,p2,60,p2,30,67,997,117,4.22
2025-06-30T19:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,116,p2,58,p2,30,67,996,124,3.42
2025-06-30T20:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,124,p2,63,p2,28,74,997,115,3.33
2025-06-30T21:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,113,p2,57,p2,28,76,997,117,3.38
2025-06-30T22:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,112,p2,56,p2,27,78,997,129,3.36
2025-06-30T23:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,57,p2,18,p2,27,82,997,131,4.5
2025-07-01T02:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,44,p2,11,p2,26,87,1001,127,5.38
2025-07-01T03:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,44,p2,11,p2,26,78,1002,129,5.31
2025-07-01T05:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,60,p2,20,p2,28,73,1002,132,5.8
2025-07-01T06:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,69,p2,27,p2,28,70,1001,133,4.78
2025-07-01T07:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,88,p2,41,p2,32,69,1001,127,5.66
2025-07-01T08:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,96,p2,47,p2,33,60,999,133,5.84
2025-07-01T09:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,110,p2,55,p2,33,67,1000,130,5.7
2025-07-01T10:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,112,p2,56,p2,32,56,998,127,5.12
2025-07-01T11:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,96,p2,47,p2,32,57,997,125,4.94
2025-07-01T12:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,102,p2,51,p2,32,57,997,117,5.58
2025-07-01T13:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,97,p2,49,p2,31,61,997,106,5.42
2025-07-01T14:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,102,p2,51,p2,30,65,998,109,3.98
2025-07-01T15:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,100,p2,51,p2,30,67,998,110,3.93
2025-07-01T16:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,98,p2,49,p2,29,69,999,117,4.02
2025-07-01T17:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,101,p2,51,p2,29,70,999,119,3.79
2025-07-01T18:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,101,p2,51,p2,29,73,999,123,3.79
2025-07-01T19:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,98,p2,49,p2,28,76,999,122,4.1
2025-07-01T20:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,90,p2,43,p2,27,81,998,124,5.18
2025-07-01T21:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,86,p2,40,p2,27,82,998,114,4.31
2025-07-01T22:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,84,p2,39,p2,27,81,998,109,4.06
2025-07-01T23:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,77,p2,33,p2,27,81,999,128,4.37
2025-07-02T01:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,73,p2,30,p2,26,89,1003,100,4.34
2025-07-02T03:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,57,p2,18,p2,27,90,1004,101,4.42
2025-07-02T04:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,61,p2,21,p2,28,87,1004,110,4.55
2025-07-02T05:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,68,p2,26,p2,29,86,1004,117,4.66
2025-07-02T06:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,59,p2,19,p2,30,83,1004,128,4.41
2025-07-02T07:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,51,p2,13,p2,30,74,1003,130,4.09
2025-07-02T08:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,50,p2,13,p2,31,68,1001,133,3.49
2025-07-02T09:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,44,p2,11,p2,32,64,1002,117,3.03
2025-07-02T10:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,44,p2,11,p2,32,61,1001,99,3.1
2025-07-02T11:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,44,p2,11,p2,32,56,998,95,3.32
2025-07-02T12:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,50,p2,13,p2,32,56,997,101,4.17
2025-07-02T13:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,50,p2,13,p2,31,60,998,103,3.67
2025-07-02T14:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,53,p2,14,p2,31,62,998,102,3.45
2025-07-02T15:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,55,p2,16,p2,30,64,998,100,3.7
2025-07-02T16:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,58,p2,19,p2,30,65,999,100,3.54
2025-07-02T17:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,61,p2,20,p2,29,66,1000,92,3.07
2025-07-02T18:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,66,p2,24,p2,29,66,1000,90,2.65
2025-07-02T19:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,68,p2,26,p2,29,67,999,86,2.93
2025-07-02T20:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,64,p2,23,p2,28,67,999,84,3.09
2025-07-02T21:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,66,p2,24,p2,28,66,999,84,3.26
2025-07-02T22:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,66,p2,24,p2,28,67,999,80,3.03
2025-07-02T23:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,63,p2,22,p2,28,68,999,82,2.92
2025-07-03T01:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,62,p2,21,p2,28,70,1001,93,1.52
2025-07-03T03:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,66,p2,24,p2,28,71,1001,112,1.13
2025-07-03T04:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,75,p2,31,p2,28,71,1002,120,0.87
2025-07-03T05:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,80,p2,36,p2,29,71,1002,132,1.06
2025-07-03T06:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,89,p2,42,p2,29,69,1002,98,1.48
2025-07-03T07:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,91,p2,44,p2,31,60,1001,82,1.17
2025-07-03T08:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,97,p2,49,p2,31,57,1001,94,0.49
2025-07-03T09:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,106,p2,53,p2,32,52,1000,126,0.22
2025-07-03T10:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,111,p2,56,p2,33,48,999,141,1.29
2025-07-03T11:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,115,p2,58,p2,34,46,999,128,3.15
2025-07-03T12:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,102,p2,51,p2,34,48,998,139,1.48
2025-07-03T13:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,102,p2,51,p2,33,50,998,135,1.86
2025-07-03T14:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,99,p2,49,p2,32,55,998,119,1.76
2025-07-03T15:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,112,p2,56,p2,31,58,999,119,2.54
2025-07-03T16:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,140,p2,71,p2,31,61,999,121,2.88
2025-07-03T17:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,147,p2,74,p2,30,64,1000,118,3.27
2025-07-03T18:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,151,p2,76,p2,31,60,999,113,3.55
2025-07-03T19:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,148,p2,74,p2,30,62,1000,111,3.68
2025-07-03T20:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,137,p2,69,p2,30,63,1000,115,3.78
2025-07-03T21:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,133,p2,67,p2,30,62,1000,119,4.7
2025-07-03T22:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,133,p2,67,p2,30,64,1000,119,4.13
2025-07-03T23:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,138,p2,69,p2,29,69,1000,119,3.62
2025-07-04T02:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,120,p2,60,p2,29,71,1002,103,3.06
2025-07-04T03:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,130,p2,65,p2,29,69,1002,93,2.79
2025-07-04T04:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,127,p2,64,p2,29,67,1002,102,2.86
2025-07-04T05:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,140,p2,71,p2,29,68,1002,109,2.55
2025-07-04T06:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,140,p2,71,p2,30,66,1002,146,2.42
2025-07-04T07:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,155,p2,82,p2,34,51,1000,162,2.46
2025-07-04T08:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,138,p2,69,p2,35,50,999,175,2.04
2025-07-04T09:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,130,p2,65,p2,36,42,998,184,1.89
2025-07-04T10:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,133,p2,67,p2,37,39,997,196,1.81
2025-07-04T11:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,124,p2,63,p2,37,38,996,195,1.51
2025-07-04T12:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,118,p2,59,p2,37,37,996,201,1.84
2025-07-04T13:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,133,p2,67,p2,36,43,996,146,2.5
2025-07-04T14:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,128,p2,65,p2,35,46,996,136,3.53
2025-07-04T15:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,148,p2,74,p2,34,49,997,135,4.21
2025-07-04T16:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,142,p2,71,p2,33,52,997,125,4.41
2025-07-04T17:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,134,p2,68,p2,33,55,998,114,4.02
2025-07-04T18:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,139,p2,70,p2,32,57,998,116,4.06
2025-07-04T19:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,151,p2,76,p2,32,59,998,114,3.97
2025-07-04T20:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,135,p2,68,p2,31,65,999,129,4.73
2025-07-04T21:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,96,p2,47,p2,31,65,999,134,4.93
2025-07-04T22:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,88,p2,41,p2,30,66,999,126,4.69
2025-07-04T23:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,112,p2,56,p2,30,68,999,126,4.34
2025-07-05T01:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,151,p2,76,p2,29,75,1000,124,3.51
2025-07-05T03:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,158,p2,88,p2,29,83,1002,129,3.51
2025-07-05T04:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,159,p2,89,p2,30,80,1002,123,3.12
2025-07-05T05:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,160,p2,92,p2,30,79,1002,126,3.05
2025-07-05T06:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,160,p2,92,p2,31,70,1000,143,2.37
2025-07-05T07:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,163,p2,97,p2,33,72,999,165,1.96
2025-07-05T08:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,167,p2,105,p2,35,65,998,193,1.47
2025-07-05T09:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,159,p2,91,p2,36,62,997,201,1.57
2025-07-05T10:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,156,p2,84,p2,37,44,994,197,2.07
2025-07-05T11:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,159,p2,89,p2,37,43,994,191,2.52
2025-07-05T12:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,155,p2,83,p2,36,46,994,172,2.95
2025-07-05T13:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,156,p2,85,p2,36,69,996,153,2.35
2025-07-05T14:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,160,p2,92,p2,35,75,996,137,2.96
2025-07-05T15:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,157,p2,87,p2,34,78,998,129,4
2025-07-05T16:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,152,p2,78,p2,33,78,999,124,5.27
2025-07-05T17:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,151,p2,76,p2,33,78,999,120,4.79
2025-07-05T18:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,152,p2,77,p2,33,69,998,113,4.33
2025-07-05T19:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,151,p2,76,p2,31,81,999,106,4.12
2025-07-05T20:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,113,p2,57,p2,31,66,996,126,4.75
2025-07-05T21:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,69,p2,27,p2,31,83,999,130,5.24
2025-07-05T22:00:00.000Z,Islamabad,Islamabad,Pakistan,33.697612,72.971079,73,p2,30,p2,30,72,996,128,5.54
